,CD63 ICAM,CD63 p30,CD63 TIGIT,CD63 p30 + TIGIT,CD63 PD1,CD63 p30 + PD1,CD63 2A,CD63 p30 + 2A,PFR ICAM,PFR p30,PFR TIGIT,PFR p30 + TIGIT,PFR PD1,PFR p30 + PD1,PFR 2A,PFR p30 + 2A
0,28898.568302800006,143843.05255799997,33346.41566628571,385361.05122316664,6040.07744175,339623.1084442857,24201.118922666654,8861.528624399987,527.0662375999927,25939.69584800004,-802.1769874285746,43694.6233115,953.6760956249982,104176.79146457143,1312.5895183333341,2959.680416399995
1,10070.082074799997,213118.43943449995,-80085.72686057142,50816.349642,1706.8006462500052,220742.00473828573,7596.569635333322,245411.08389120002,840.177487599999,85345.12363699998,-21912.352157142857,7050.920634000002,6524.411911874999,90486.80229257143,3986.3039401666683,5176.750963199993
2,-6274.865345400001,242897.501635,83742.51887828571,27894.606810000012,5166.80335925,21182.375564142843,78779.281326,13356.895386200005,-443.22949780000636,136823.18031466668,4196.220251571416,29002.763502,2171.2200168749987,2782.2198732857105,17569.334397000006,3391.600112199998
3,3381.5622655999978,12469.951702499999,40574.01115285714,1569065.2461041668,126913.69793724998,60042.180989857145,23065.386205333314,-1576.7575135999941,-1074.7289728000014,1541.9004249999998,10078.906195714288,440798.7660625001,9005.41461837499,455.81473671428466,1056.489845666667,989.6424223999966
4,27004.46613,95263.01570149997,55275.09004285713,196987.27040766669,-3194.9199127500033,58657.32689314283,321719.80870166654,51547.699873800026,24760.201559999994,244361.08407533338,1608.9229607142843,5049.153794999998,2437.773168374999,218012.10608628573,17528.281265833342,11925.419861799994
5,31567.191313599986,167963.79353999998,10690.274935285717,577224.5940515,11698.87693125,83383.73425357143,108386.64108099995,428242.14934760006,1359.5696471999981,1959.218181333381,1731.6408875714278,258692.76514950002,1280.2123218750003,552497.3826321427,18924.676770500002,26369.0697716
6,37141.20109799999,197475.9483915,33334.35050185716,1718954.1501731665,73165.40555124998,398923.1636742857,130159.08814066666,66009.14061599999,4309.575095999993,124556.66471900002,3301.805659714286,269268.4440455,7671.869472374994,210924.6901525714,26313.463570333333,42972.939276
7,5425.805576400002,22479.059364999994,7017.509631571433,259607.34405450002,10209.982554000002,211423.44964900002,149010.552423,68264.41196999999,49.60302779999802,94169.32098333335,-617.449610857142,55641.542206499995,815.3974269999981,442668.938549,12226.2905655,7246.5179699999935
8,30767.46033599999,703643.8330845002,19002.763296000005,158411.28846200003,-3558.0679075000007,16590.506232,134455.40179966667,10815.25590180001,4082.3903119999923,667094.9070170001,-558.359999999997,9516.209850000007,109.53243574999942,917.1128169999974,15293.679521833335,798.290656799998
9,31924.530864199987,713261.5283535,22931.83493085714,366248.79370166664,-2345.5031792499976,1354761.7175588573,63947.92657599998,74052.0696872,26901.457181399994,812156.5013683335,384.5765517142863,79851.519111,-250.90877487500074,191525.8156177143,12350.235726499996,4628.033577199996
10,15899.2335078,783779.5332185,95642.1169241429,218559.05242199998,42585.14329374998,41116.39855499999,9707.51511199998,168768.5063148,3410.889897599999,267897.8593456667,-318.1270297142837,15840.693234000006,2987.2859506249806,38256.97473,5012.189739999998,-595.3060332000023
11,59536.17488719997,139433.209475,52069.33404600003,814019.3149303333,15135.92106275,79753.19131228571,10810.946012999993,55682.46933119999,9876.308919399984,117976.70749133336,6560.525325000002,33858.24676499999,4272.305285625,385412.70149957144,-1495.2629625000009,5090.546464199997
12,19316.95474919999,176393.12169599996,322522.47764685715,29617.44942916667,2034.9900617499989,62346.95717485714,28648.458431333318,52261.26544239999,3398.4620843999983,92925.05395200002,7968.6774467142895,-487.6718875000006,2772.897314624999,21455.283949714285,24207.606429666663,20452.166820399994
13,109452.017864,55645.110345,29873.233170000007,235782.34683750002,-19054.136737999987,341150.3603255714,100396.03512266665,61152.42147840001,17773.645247999997,3358.7625280000175,-229.90041800000108,83561.65841250001,-1127.2797510000091,201804.56567814286,16465.807884333335,18228.977852399992
